CMDLINE /home/yhao/.conda/envs/torch/bin/python basic_quantization.py
MEM 0.519531 1702007507.7941
MEM 44.300781 1702007507.8943
MEM 188.855469 1702007507.9945
MEM 255.898438 1702007508.0947
MEM 323.230469 1702007508.1949
MEM 352.429688 1702007508.2951
MEM 378.753906 1702007508.3953
MEM 393.824219 1702007508.4955
MEM 419.128906 1702007508.5957
MEM 442.601562 1702007508.6959
MEM 469.214844 1702007508.7960
MEM 505.460938 1702007508.8962
MEM 541.335938 1702007508.9964
MEM 549.574219 1702007509.0967
MEM 558.964844 1702007509.1968
MEM 601.312500 1702007509.2970
MEM 632.800781 1702007509.3972
MEM 772.027344 1702007509.4975
MEM 844.359375 1702007509.5977
MEM 957.855469 1702007509.6979
MEM 985.097656 1702007509.7982
MEM 997.453125 1702007509.8984
MEM 1094.476562 1702007509.9987
MEM 1148.722656 1702007510.0990
MEM 1253.906250 1702007510.1993
MEM 1285.902344 1702007510.2996
MEM 1300.792969 1702007510.3999
MEM 1397.812500 1702007510.5002
MEM 1452.601562 1702007510.6005
MEM 1544.636719 1702007510.7007
MEM 1565.851562 1702007510.8010
MEM 1603.921875 1702007510.9013
MEM 1700.941406 1702007511.0015
MEM 1755.738281 1702007511.1018
MEM 1782.027344 1702007511.2021
MEM 1862.296875 1702007511.3024
MEM 1908.062500 1702007511.4026
MEM 2005.085938 1702007511.5029
MEM 2059.882812 1702007511.6031
MEM 2109.121094 1702007511.7033
MEM 2166.960938 1702007511.8035
MEM 2258.558594 1702007511.9038
MEM 929.027344 1702007512.0041
MEM 860.253906 1702007512.1044
MEM 859.367188 1702007512.2047
