CMDLINE /home/yhao/.conda/envs/torch/bin/python basic_quantization.py
MEM 0.593750 1701853104.9027
MEM 44.453125 1701853105.0029
MEM 195.988281 1701853105.1031
MEM 257.886719 1701853105.2033
MEM 327.722656 1701853105.3035
MEM 359.199219 1701853105.4037
MEM 380.789062 1701853105.5039
MEM 396.875000 1701853105.6042
MEM 424.796875 1701853105.7043
MEM 446.960938 1701853105.8045
MEM 468.933594 1701853105.9048
MEM 530.531250 1701853106.0050
MEM 550.402344 1701853106.1051
MEM 699.792969 1701853106.2054
MEM 817.675781 1701853106.3057
MEM 817.675781 1701853106.4060
MEM 817.675781 1701853106.5063
MEM 817.675781 1701853106.6066
MEM 817.675781 1701853106.7069
MEM 817.675781 1701853106.8072
MEM 817.675781 1701853106.9076
MEM 817.675781 1701853107.0079
MEM 817.675781 1701853107.1082
MEM 817.675781 1701853107.2086
MEM 817.675781 1701853107.3088
MEM 817.675781 1701853107.4091
MEM 817.675781 1701853107.5094
MEM 817.675781 1701853107.6096
MEM 817.675781 1701853107.7099
MEM 817.675781 1701853107.8102
MEM 817.675781 1701853107.9106
MEM 817.675781 1701853108.0109
MEM 817.675781 1701853108.1111
MEM 817.675781 1701853108.2114
MEM 817.675781 1701853108.3118
MEM 817.675781 1701853108.4121
MEM 817.675781 1701853108.5124
MEM 817.675781 1701853108.6127
MEM 817.675781 1701853108.7129
MEM 817.675781 1701853108.8132
MEM 620.347656 1701853108.9134
MEM 620.347656 1701853109.0136
