CMDLINE /home/yhao/.conda/envs/torch/bin/python basic_quantization.py
MEM 0.492188 1701835856.0969
MEM 44.230469 1701835856.1972
MEM 186.953125 1701835856.2973
MEM 255.617188 1701835856.3975
MEM 321.925781 1701835856.4977
MEM 349.667969 1701835856.5979
MEM 377.769531 1701835856.6981
MEM 392.503906 1701835856.7983
MEM 412.632812 1701835856.8984
MEM 452.148438 1701835856.9985
MEM 506.765625 1701835857.0987
MEM 904.738281 1701835857.1988
MEM 904.738281 1701835857.2989
MEM 1049.621094 1701835857.3990
MEM 904.753906 1701835857.4991
MEM 829.988281 1701835857.5992
MEM 785.843750 1701835857.6994
MEM 874.597656 1701835857.7996
MEM 900.535156 1701835857.8998
MEM 900.535156 1701835858.0000
MEM 900.535156 1701835858.1002
MEM 900.535156 1701835858.2005
MEM 900.535156 1701835858.3006
MEM 900.535156 1701835858.4008
MEM 900.535156 1701835858.5010
MEM 900.535156 1701835858.6012
MEM 900.535156 1701835858.7014
MEM 900.535156 1701835858.8016
MEM 900.535156 1701835858.9017
MEM 900.535156 1701835859.0019
MEM 900.535156 1701835859.1021
MEM 900.535156 1701835859.2023
MEM 900.535156 1701835859.3025
MEM 900.535156 1701835859.4027
MEM 900.535156 1701835859.5028
MEM 900.535156 1701835859.6030
MEM 900.535156 1701835859.7032
MEM 900.535156 1701835859.8034
MEM 900.535156 1701835859.9036
MEM 588.230469 1701835860.0038
MEM 541.546875 1701835860.1041
