CMDLINE /home/yhao/.conda/envs/torch/bin/python basic_quantization.py
MEM 0.464844 1701835632.2320
MEM 44.246094 1701835632.3322
MEM 196.058594 1701835632.4323
MEM 254.781250 1701835632.5326
MEM 321.820312 1701835632.6328
MEM 349.304688 1701835632.7330
MEM 377.652344 1701835632.8331
MEM 391.746094 1701835632.9333
MEM 409.984375 1701835633.0334
MEM 454.363281 1701835633.1336
MEM 575.511719 1701835633.2338
MEM 946.128906 1701835633.3340
MEM 761.960938 1701835633.4341
MEM 998.054688 1701835633.5343
MEM 998.054688 1701835633.6346
MEM 998.054688 1701835633.7348
MEM 998.054688 1701835633.8350
MEM 998.054688 1701835633.9352
MEM 998.054688 1701835634.0355
MEM 998.269531 1701835634.1357
MEM 998.269531 1701835634.2359
MEM 998.269531 1701835634.3361
MEM 998.269531 1701835634.4363
MEM 998.269531 1701835634.5366
MEM 998.269531 1701835634.6368
MEM 998.269531 1701835634.7370
MEM 998.269531 1701835634.8372
MEM 998.269531 1701835634.9374
MEM 998.269531 1701835635.0376
MEM 998.269531 1701835635.1378
MEM 998.269531 1701835635.2381
MEM 998.269531 1701835635.3383
MEM 998.269531 1701835635.4385
MEM 998.269531 1701835635.5387
MEM 998.269531 1701835635.6389
MEM 998.269531 1701835635.7391
MEM 998.269531 1701835635.8394
MEM 998.269531 1701835635.9398
MEM 998.269531 1701835636.0400
MEM 998.269531 1701835636.1402
MEM 998.269531 1701835636.2404
MEM 998.269531 1701835636.3407
MEM 998.269531 1701835636.4409
MEM 998.269531 1701835636.5411
MEM 998.269531 1701835636.6414
MEM 998.269531 1701835636.7416
MEM 998.269531 1701835636.8419
MEM 998.269531 1701835636.9422
MEM 998.269531 1701835637.0425
MEM 998.269531 1701835637.1428
MEM 998.269531 1701835637.2430
MEM 998.269531 1701835637.3432
MEM 998.269531 1701835637.4435
MEM 998.269531 1701835637.5437
MEM 998.269531 1701835637.6440
MEM 998.269531 1701835637.7442
MEM 998.269531 1701835637.8445
MEM 998.269531 1701835637.9446
MEM 998.269531 1701835638.0449
MEM 851.902344 1701835638.1451
MEM 694.226562 1701835638.2454
MEM 0.000000 1701835638.3456
