CMDLINE /home/yhao/.conda/envs/torch/bin/python basic_quantization.py
MEM 0.593750 1702007108.3155
MEM 44.468750 1702007108.4157
MEM 188.671875 1702007108.5159
MEM 255.593750 1702007108.6161
MEM 325.148438 1702007108.7163
MEM 355.382812 1702007108.8166
MEM 379.253906 1702007108.9168
MEM 395.078125 1702007109.0169
MEM 421.128906 1702007109.1171
MEM 445.984375 1702007109.2173
MEM 468.906250 1702007109.3176
MEM 506.375000 1702007109.4178
MEM 540.929688 1702007109.5180
MEM 549.175781 1702007109.6182
MEM 559.277344 1702007109.7184
MEM 705.781250 1702007109.8187
MEM 929.527344 1702007109.9189
MEM 1060.234375 1702007110.0191
MEM 995.671875 1702007110.1193
MEM 1193.929688 1702007110.2195
MEM 1333.148438 1702007110.3196
MEM 1392.316406 1702007110.4199
MEM 1525.089844 1702007110.5201
MEM 1625.894531 1702007110.6203
MEM 1740.878906 1702007110.7205
MEM 1884.222656 1702007110.8207
MEM 1982.707031 1702007110.9209
MEM 2104.652344 1702007111.0211
MEM 2192.562500 1702007111.1213
MEM 2324.820312 1702007111.2215
MEM 2409.382812 1702007111.3218
MEM 2544.730469 1702007111.4220
MEM 2670.027344 1702007111.5224
MEM 2768.492188 1702007111.6227
MEM 2908.480469 1702007111.7229
MEM 2999.484375 1702007111.8231
MEM 3128.132812 1702007111.9233
MEM 3211.664062 1702007112.0235
MEM 3345.726562 1702007112.1237
MEM 3460.746094 1702007112.2239
MEM 3460.746094 1702007112.3241
MEM 3460.746094 1702007112.4242
MEM 3460.746094 1702007112.5244
MEM 3460.746094 1702007112.6246
MEM 3460.746094 1702007112.7248
MEM 2140.417969 1702007112.8250
MEM 2061.628906 1702007112.9252
MEM 2056.628906 1702007113.0255
MEM 0.000000 1702007113.1257
