CMDLINE /home/yhao/.conda/envs/torch/bin/python basic_quantization.py
MEM 0.464844 1702006821.7534
MEM 44.546875 1702006821.8536
MEM 196.164062 1702006821.9537
MEM 257.250000 1702006822.0540
MEM 323.582031 1702006822.1542
MEM 354.781250 1702006822.2544
MEM 378.808594 1702006822.3546
MEM 394.285156 1702006822.4548
MEM 421.066406 1702006822.5550
MEM 444.960938 1702006822.6552
MEM 468.960938 1702006822.7554
MEM 505.628906 1702006822.8556
MEM 541.015625 1702006822.9558
MEM 549.207031 1702006823.0561
MEM 559.027344 1702006823.1563
MEM 685.507812 1702006823.2564
MEM 920.851562 1702006823.3565
MEM 1043.304688 1702006823.4567
MEM 899.378906 1702006823.5569
MEM 677.175781 1702006823.6572
MEM 673.324219 1702006823.7574
MEM 679.566406 1702006823.8577
